"","x","y","nlcd_extract_37.19"
"245",556426.3294,7668386.16,51
"246",556671.4642,7666768.931,51
"247",557022.2071,7667264.2,51
"248",557139.4868,7667410.051,51
"249",557133.736,7667400.658,51
"250",556893.8379,7667021.391,51
"251",556399.4432,7666851.861,72
"252",556857.7499,7667146.925,51
"253",556416.2669,7666411.667,51
"254",556818.54,7667092.138,51
"255",556835.4229,7667107.366,51
"256",556641.9644,7666552.639,51
"257",557001.4358,7667101.98,51
"258",556954.888,7667305.348,51
"259",555788.1349,7667207.785,51
"260",556880.024,7667045.273,51
"261",556996.3601,7667092.604,51
"262",556593.5686,7666664.952,51
"263",556458.5402,7666477.784,51
"264",556699.9564,7666769.593,51
"265",556075.017,7666792.407,51
"266",557004.1459,7667100.148,51
"267",557095.0641,7667040.926,51
"268",556861.3299,7667020.633,51
"269",556493.7393,7667250.01,51
"270",555925.6043,7667259.229,51
"271",556741.9886,7666960.188,51
"272",557023.5201,7667264.231,51
"273",557004.0156,7667105.722,51
"274",557002.6186,7667107.585,51
"275",557002.7045,7667103.906,51
"276",557009.3491,7667104.062,51
"277",557022.6872,7667100.581,51
"278",555730.3571,7667267.811,51
"279",556926.2726,7667081.598,51
"280",557079.5488,7667079.602,72
"281",557018.6995,7667186.039,51
"282",556915.1474,7666676.112,51
"283",557013.0559,7666405.122,51
"284",557019.0897,7667312.424,72
"285",556987.425,7666878.572,51
"286",555853.338,7667402.575,51
"287",555366.6635,7667828.379,51
"288",556925.1148,7667187.535,51
"289",557009.5489,7667124.478,51
"290",555770.2842,7667088.365,51
"291",556457.7133,7666542.793,51
"292",556983.617,7667097.883,51
"293",556911.9048,7667270.882,51
"294",556956.1007,7667253.398,72
"295",557268.6756,7666202.86,51
"296",556860.9171,7668660.16,51
"297",556935.4212,7667145.055,72
"298",557055.5929,7667423.034,51
"299",556795.0839,7667102.746,51
"300",556849.7514,7665979.244,51
"301",556759.1739,7665964.198,51
"302",557074.4626,7667155.777,72
"303",557028.7561,7667069.157,72
"304",556733.4109,7667015.759,51
"305",556845.2508,7666086.999,51
"306",557085.4241,7667226.639,51
"307",556952.8196,7667961.605,51
"308",557642.0935,7666579.736,72
"309",557120.5029,7667173.586,51
"310",557003.3809,7667103.922,51
"311",557003.3392,7667105.706,51
"312",557011.3828,7667102.213,51
"313",557011.7398,7667143.157,51
"314",557055.3806,7667006.535,51
"315",556308.4465,7666338.572,51
"316",557033.0566,7667026.537,51
"317",557373.4751,7666967.593,51
"318",557086.8787,7667135.544,51
"319",556888.8187,7666582.585,51
"320",556959.9332,7667288.734,51
"321",556891.3906,7667240.734,51
"322",557358.3854,7666762.672,51
"323",556866.6708,7666593.222,72
"324",557006.5282,7667224.794,51
"325",557279.3451,7667556.549,51
"326",557336.7616,7667399.844,51
"327",557294.1442,7667153.453,51
"328",556907.0315,7667280.138,51
"329",556925.5049,7667170.813,51
"330",556942.2262,7667165.626,72
"331",557407.1221,7666919.975,51
"332",557076.0028,7667061.003,51
"333",557038.939,7667030.355,51
"334",557051.7116,7667192.388,72
"335",557252.8513,7667187.842,51
"336",557011.2969,7667105.892,51
"337",556514.5911,7666149.926,51
"338",557040.2259,7667286.929,72
"339",557062.6583,7667291.135,51
"340",557170.2483,7667031.532,51
"341",557109.1384,7667006.008,51
"342",557047.106,7667248.051,51
"343",557068.4172,7666932.554,51
"344",557187.7316,7666965.017,51
"345",556553.4513,7666734.627,51
"346",556892.5302,7666850.368,51
"347",555591.78,7667816.769,51
"348",555593.1756,7667814.904,51
"349",555412.9165,7667193.658,51
"350",557208.3513,7667019.486,51
"351",556944.5072,7667323.733,51
"352",556985.1978,7667001.214,51
"353",556730.2463,7667264.867,51
"354",556665.8037,7668611.002,51
"355",556286.5334,7666884.612,51
"356",556971.3897,7667309.525,51
"357",556957.8997,7667290.583,51
"358",556188.3635,7666884.246,51
"359",555861.6054,7667272.709,51
"360",557250.5669,7666436.671,51
"361",557048.8346,7667259.245,51
"362",557438.3225,7666580.509,51
"363",557030.0191,7667297.845,72
"364",557933.4232,7665993.566,51
"365",557920.9389,7665848.265,51
"366",557902.5677,7665838.572,51
"367",555241.5161,7667351.502,51
"368",557016.0741,7666674.787,72
"369",556899.7114,7667196.312,51
"370",557622.3778,7665783.645,51
"371",557516.2878,7666876.145,51
"372",556995.4499,7666988.404,72
"373",556872.0523,7667158.412,51
"374",557905.1393,7665898.084,51
"375",557907.3941,7665886.984,51
"376",555523.5309,7668367.221,51
"377",556990.3527,7668031.191,51
"378",556969.5493,7667274.124,51
"379",557073.5958,7667051.578,51
"380",557110.6365,7667452.207,51
"381",555385.3419,7666977.427,51
"382",557040.156,7666978.294,51
"383",557898.9119,7665853.32,51
"384",557904.381,7665846.088,51
"385",556779.057,7666278.869,51
"386",555889.0515,7667117.182,51
"387",555676.4862,7667041.607,72
"388",557088.9872,7667215.568,51
