FID,OBJECTID,timestamp,long,lat,accelerati,accelera1,accelera2,activity_c,comments,external_t,satellite_,speed,gsm_signal,height,import_mar,tag_voltag,sensor_typ,individual,tag_ident,ind_ident,study_name,date,time,OBJECTID_1,NVCSName,NVCSLevel,MapClass,MapClassCo,Original_2,Original_1,Cov_2015,Dist_2015,Ht_2015,Notes_2015,ID_2015,Habitat,MgmtRegion,Lepidium,CalVegName,CalVegCode,CWHRType,CWHRCode,GlobalRank,StateRank,Rare,CaCode,NVCSAllian,NVCSGroup,NVCSMG,UID,Acres,Hectares,Shape_Leng,Shape_Area
21,470,2018-07-11 17:00:00,-122.007,38.234666,0,0,0,0,SIMP01,26,0,0,0,0,0,4160,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,14251,Mediterranean California Naturalized Annual and Perennial Grassland,Group,Mediterranean California Naturalized Annual and Perennial Grassland Group,4111000,Brassica nigra Association,406,10-25%,High,1-2m,POA1507201105,Reconnaissance,Leveed (not tidal),1,Absent,Annual Grasses and Forbs,HG,Annual Grassland,AGS, , , , , ,Mediterranean California naturalized annual and perennial grassland,California Annual and Perennial Grassland,SUMA14251,7.983329773,3.174649954,6638.183842,32305.78067
22,591,2018-07-21 16:00:00,-122.008433,38.232316,0,0,0,0,SIMP01,24,0,0,0,0,0,4160,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,14251,Mediterranean California Naturalized Annual and Perennial Grassland,Group,Mediterranean California Naturalized Annual and Perennial Grassland Group,4111000,Brassica nigra Association,406,10-25%,High,1-2m,POA1507201105,Reconnaissance,Leveed (not tidal),1,Absent,Annual Grasses and Forbs,HG,Annual Grassland,AGS, , , , , ,Mediterranean California naturalized annual and perennial grassland,California Annual and Perennial Grassland,SUMA14251,7.983329773,3.174649954,6638.183842,32305.78067
23,30,2018-06-06 14:28:00,-122.014133,38.230732,0,0,0,0,SIMP01,22,0,0,0,0,0,3950,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,14257,"Typha (angustifolia, domingensis, latifolia)",Alliance,"Typha (angustifolia, latifolia, domingensis) Herbaceous Alliance",7111100,"Typha (angustifolia, latifolia, domingensis)-Schoenoplectus americanus Association",121,50-75%,Not evident,1-2m, ,Photo interpretation,Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S5,N,52.050.00,"Typha (angustifolia, domingensis, latifolia)",Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA14257,16.31329918,6.601759911,4324.02191,66014.38449
24,189,2018-06-19 20:00:00,-122.0125,38.230099,0,0,0,0,SIMP01,30,0,0,0,0,0,4110,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,14257,"Typha (angustifolia, domingensis, latifolia)",Alliance,"Typha (angustifolia, latifolia, domingensis) Herbaceous Alliance",7111100,"Typha (angustifolia, latifolia, domingensis)-Schoenoplectus americanus Association",121,50-75%,Not evident,1-2m, ,Photo interpretation,Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S5,N,52.050.00,"Typha (angustifolia, domingensis, latifolia)",Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA14257,16.31329918,6.601759911,4324.02191,66014.38449
25,1473,2019-04-17 00:00:00,-122.0132,38.229932,0,0,0,0,SIMP01,25,0,0,0,0,0,4140,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,14257,"Typha (angustifolia, domingensis, latifolia)",Alliance,"Typha (angustifolia, latifolia, domingensis) Herbaceous Alliance",7111100,"Typha (angustifolia, latifolia, domingensis)-Schoenoplectus americanus Association",121,50-75%,Not evident,1-2m, ,Photo interpretation,Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S5,N,52.050.00,"Typha (angustifolia, domingensis, latifolia)",Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA14257,16.31329918,6.601759911,4324.02191,66014.38449
26,1437,2019-04-12 16:00:00,-122.012916,38.230899,0,0,0,0,SIMP01,24,0,0,0,0,0,4120,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,14996,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,50-75%,Not evident,2-5m, ,Photo interpretation,Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA14996,1.245790005,0.504152,600.5103451,5041.27157
27,1416,2019-04-09 22:00:00,-122.01585,38.229799,0,0,0,0,SIMP01,20,0,0,0,0,0,4140,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,15018,Lacustrine, ,Ditch Mapping Unit,9,Ditch mu,9,N/A,N/A,N/A, ,Photo interpretation,Leveed (not tidal),1,Absent,Developed Water Feature,IW,Lacustrine,LAC, , , , , , , ,SUMA15018,10.1637001,4.113100052,4912.630757,41128.89926
28,302,2018-06-27 15:02:00,-122.009066,38.234533,0,0,0,0,SIMP01,31,0,0,0,0,0,4130,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,15021,Frankenia salina,Alliance,Frankenia salina Herbaceous Alliance,8212200,Frankenia salina Alliance,320,25-50%,High,<0.5m,POA1507201042,Reconnaissance,Leveed (not tidal),1,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW,G4,S3,Y,52.500.00,Frankenia salina,Southwestern North American salt basin and high marsh,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA15021,2.413490057,0.976704001,1060.646009,9766.57444
29,1529,2019-04-22 00:00:00,-122.011183,38.234133,0,0,0,0,SIMP01,38,0,0,0,0,0,3730,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,15021,Frankenia salina,Alliance,Frankenia salina Herbaceous Alliance,8212200,Frankenia salina Alliance,320,25-50%,High,<0.5m,POA1507201042,Reconnaissance,Leveed (not tidal),1,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW,G4,S3,Y,52.500.00,Frankenia salina,Southwestern North American salt basin and high marsh,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA15021,2.413490057,0.976704001,1060.646009,9766.57444
30,1803,2019-06-16 02:02:00,-122.0084,38.235183,0,0,0,0,SIMP01,27,0,0,0,0,0,3780,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,15030,"Sarcocornia pacifica / annual grasses (Polypogon, Hordeum, Lolium)",Association,Salicornia pacifica - Annual Grasses Association,8111302,Salicornia pacifica-Annual Grasses Association,347,25-50%,High,<0.5m, ,Photo interpretation,Leveed (not tidal),1,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,52.215.19,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA15030,1.018900037,0.412333012,673.3764531,4123.13557
