event-id,visible,timestamp,x,y,acceleration-x,acceleration-y,acceleration-z,gps:activity-count,comments,external-temperature,gps:satellite-count,ground-speed,gsm:gsm-signal-strength,height-above-ellipsoid,import-marked-outlier,mw:activity-count,tag-voltage,transmission-timestamp,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone
7954067854,TRUE,13:00.0,-121.946933,38.1133,,,,,DRIB61,29,,,,,FALSE,,3760,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592315.292,4218909.665,10N
7954605810,TRUE,00:00.0,-121.946899,38.113266,,,,,DRIB61,27,,,,,FALSE,,3770,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592318.3154,4218905.926,10N
7954605811,TRUE,00:00.0,-121.949299,38.113066,,,,,DRIB61,31,,,,,FALSE,,3770,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592108.169,4218881.35,10N
7954605812,TRUE,00:00.0,-121.949316,38.113066,,,,,DRIB61,33,,,,,FALSE,,3770,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592106.6787,4218881.333,10N
7954605813,TRUE,01:00.0,-121.949749,38.114066,,,,,DRIB61,28,,,,,FALSE,,3770,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592067.4638,4218991.862,10N
8029865361,TRUE,00:00.0,-121.943699,38.113633,,,,,DRIB61,19,,,,,FALSE,,3860,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592598.3822,4218949.836,10N
8029865362,TRUE,00:00.0,-121.945166,38.1141,,,,,DRIB61,21,,,,,FALSE,,3860,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592469.1884,4219000.191,10N
8029865363,TRUE,00:00.0,-121.949283,38.117949,,,,,DRIB61,20,,,,,FALSE,,3860,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592103.438,4219423.177,10N
8029865364,TRUE,00:00.0,-121.949966,38.114,,,,,DRIB61,24,,,,,FALSE,,3860,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592048.5234,4218984.324,10N
8029865369,TRUE,01:00.0,-121.951833,38.115383,,,,,DRIB61,18,,,,,FALSE,,4130,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",591883.1203,4219135.93,10N
