event-id,visible,timestamp,location-long,location-lat,acceleration-x,acceleration-y,acceleration-z,gps:activity-count,id,external-temperature,gps:satellite-count,ground-speed,gsm:gsm-signal-strength,height-above-ellipsoid,import-marked-outlier,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,x,y,utm-zone
7932416321,TRUE,8/24/18 15:00,-121.598733,38.463733,,,,,SIMP01,25,,,,,FALSE,4130,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",622251.5317,4258199.179,10N
7932416322,TRUE,8/24/18 16:00,-121.599899,38.463416,,,,,SIMP01,29,,,,,FALSE,4130,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",622150.3359,4258162.455,10N
7932416315,TRUE,8/24/18 17:02,-121.6026,38.465816,,,,,SIMP01,31,,,,,FALSE,4110,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621910.6381,4258425.2,10N
7932416316,TRUE,8/24/18 18:00,-121.6023,38.460566,,,,,SIMP01,31,,,,,FALSE,4110,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621945.6533,4257843.013,10N
7932416317,TRUE,8/24/18 19:00,-121.6017,38.461216,,,,,SIMP01,33,,,,,FALSE,4110,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621996.909,4257915.937,10N
7932416318,TRUE,8/24/18 20:00,-121.602233,38.461,,,,,SIMP01,38,,,,,FALSE,4110,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621950.7682,4257891.262,10N
9170503301,TRUE,9/28/18 1:02,-122.045666,38.221632,,,,,SIMP01,26,,,,,FALSE,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583536.0954,4230836.471,10N
9170503302,TRUE,9/28/18 12:00,-122.045283,38.221916,,,,,SIMP01,29,,,,,FALSE,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583569.2965,4230868.329,10N
9170503303,TRUE,9/28/18 18:00,-122.05115,38.2067,,,,,SIMP01,35,,,,,FALSE,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583073.0269,4229174.687,10N
9170503304,TRUE,9/29/18 0:01,-122.049083,38.217316,,,,,SIMP01,27,,,,,FALSE,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583241.9051,4230354.491,10N
9170503257,TRUE,9/29/18 12:01,-122.044016,38.224649,,,,,SIMP01,30,,,,,FALSE,3860,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583677.0724,4231172.727,10N
9170503258,TRUE,9/29/18 18:00,-122.035016,38.21455,,,,,SIMP01,33,,,,,FALSE,3860,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",584476.5355,4230060.315,10N
9170503259,TRUE,9/29/18 19:00,-122.036183,38.213783,,,,,SIMP01,30,,,,,FALSE,3860,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",584375.2575,4229974.145,10N
9170503260,TRUE,9/29/18 20:00,-122.026999,38.224299,,,,,SIMP01,28,,,,,FALSE,3860,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",585167.0085,4231149.407,10N
9170503309,TRUE,9/29/18 21:02,-122.051216,38.206716,,,,,SIMP01,33,,,,,FALSE,3960,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583067.2302,4229176.403,10N
9170503310,TRUE,9/29/18 22:00,-122.048316,38.211566,,,,,SIMP01,28,,,,,FALSE,3960,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583315.6049,4229717.162,10N
9170503311,TRUE,9/29/18 23:00,-122.042599,38.199916,,,,,SIMP01,24,,,,,FALSE,3960,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583829.4741,4228429.641,10N
9170503312,TRUE,9/30/18 0:01,-122.033182,38.219732,,,,,SIMP01,24,,,,,FALSE,3960,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",584631.0879,4230636.984,10N
9170503289,TRUE,9/30/18 1:02,-122.033232,38.219182,,,,,SIMP01,28,,,,,FALSE,3900,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",584627.3482,4230575.91,10N
9170503290,TRUE,9/30/18 2:00,-122.028449,38.221199,,,,,SIMP01,24,,,,,FALSE,3900,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",585043.6959,4230804.098,10N
9170503291,TRUE,9/30/18 3:00,-122.028466,38.221216,,,,,SIMP01,32,,,,,FALSE,3900,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",585042.188,4230805.969,10N
9170503292,TRUE,9/30/18 4:00,-122.028466,38.221166,,,,,SIMP01,32,,,,,FALSE,3900,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",585042.2462,4230800.421,10N
9170503313,TRUE,9/30/18 12:02,-122.028016,38.221332,,,,,SIMP01,27,,,,,FALSE,3840,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",585081.4441,4230819.254,10N
9170503314,TRUE,9/30/18 13:00,-122.028266,38.221116,,,,,SIMP01,27,,,,,FALSE,3840,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",585059.8116,4230795.057,10N
9170503315,TRUE,9/30/18 14:00,-122.047299,38.213083,,,,,SIMP01,18,,,,,FALSE,3840,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583402.9091,4229886.404,10N
9170503316,TRUE,9/30/18 15:00,-122.048516,38.210383,,,,,SIMP01,24,,,,,FALSE,3840,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583299.4439,4229585.717,10N
9170503305,TRUE,9/30/18 16:02,-122.049349,38.209866,,,,,SIMP01,48,,,,,FALSE,3870,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583227.1046,4229527.602,10N
9170503306,TRUE,9/30/18 17:00,-122.048333,38.21315,,,,,SIMP01,28,,,,,FALSE,3870,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583312.3106,4229892.907,10N
9170503307,TRUE,9/30/18 18:00,-122.047916,38.2133,,,,,SIMP01,41,,,,,FALSE,3870,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583348.646,4229909.926,10N
9170503308,TRUE,9/30/18 19:00,-122.049066,38.209933,,,,,SIMP01,35,,,,,FALSE,3870,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583251.8048,4229535.291,10N
9170503297,TRUE,9/30/18 20:02,-122.048899,38.2095,,,,,SIMP01,36,,,,,FALSE,3930,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583266.9189,4229487.395,10N
9170503298,TRUE,9/30/18 21:00,-122.048499,38.2096,,,,,SIMP01,41,,,,,FALSE,3930,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583301.8248,4229498.851,10N
9170503299,TRUE,9/30/18 22:00,-122.0623,38.199533,,,,,SIMP01,37,,,,,FALSE,3930,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",582104.8592,4228369.499,10N
9170503300,TRUE,9/30/18 23:00,-122.047699,38.212666,,,,,SIMP01,28,,,,,FALSE,3930,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583368.3666,4229839.773,10N
9170503249,TRUE,10/1/18 0:03,-122.051366,38.20705,,,,,SIMP01,26,,,,,FALSE,3870,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583053.7177,4229213.329,10N
9170503250,TRUE,10/1/18 1:00,-122.051533,38.207683,,,,,SIMP01,29,,,,,FALSE,3870,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583038.3771,4229283.417,10N
9170503251,TRUE,10/1/18 2:00,-122.045399,38.222249,,,,,SIMP01,26,,,,,FALSE,3870,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583558.7616,4230905.174,10N
9170503252,TRUE,10/1/18 3:00,-122.045916,38.221899,,,,,SIMP01,26,,,,,FALSE,3870,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583513.9063,4230865.872,10N
9170503233,TRUE,10/1/18 4:02,-122.045899,38.221799,,,,,SIMP01,31,,,,,FALSE,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583515.5088,4230854.791,10N
9170503234,TRUE,10/1/18 12:00,-122.044983,38.222749,,,,,SIMP01,31,,,,,FALSE,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583594.6037,4230961.03,10N
9170503235,TRUE,10/1/18 13:00,-122.044916,38.222349,,,,,SIMP01,24,,,,,FALSE,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583600.9263,4230916.706,10N
9170503236,TRUE,10/1/18 14:00,-122.046649,38.212883,,,,,SIMP01,21,,,,,FALSE,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583460.0421,4229864.797,10N
9170503277,TRUE,10/1/18 15:02,-122.048966,38.20965,,,,,SIMP01,25,,,,,FALSE,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583260.8821,4229503.979,10N
9170503278,TRUE,10/1/18 16:00,-122.053383,38.206,,,,,SIMP01,29,,,,,FALSE,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",582878.3144,4229095.015,10N
9170503279,TRUE,10/1/18 17:00,-122.052416,38.206483,,,,,SIMP01,32,,,,,FALSE,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",582962.4309,4229149.474,10N
9170503280,TRUE,10/1/18 18:00,-122.051633,38.207816,,,,,SIMP01,37,,,,,FALSE,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",583029.4708,4229298.085,10N
