x,y,time
679076.173,5134357.228,176
679075.8226,5134349.158,177
679057.9598,5134357.117,178
679075.1483,5134352.108,179
679074.8477,5134342.342,180
679075.2978,5134347.021,181
679079.5198,5134343.328,182
679080.3825,5134353.958,183
679077.6463,5134347.09,184
679072.2625,5134350.326,185
679075.8226,5134349.158,186
679076.5468,5134344.513,187
679071.8623,5134343.951,188
679070.5385,5134349.003,189
679075.8351,5134348.734,190
675787.8516,5135274.444,191
675767.9906,5135270.477,192
675779.621,5135274.63,193
675781.3331,5135276.377,194
675776.8327,5135269.459,195
675772.1734,5135247.691,196
675786.115,5135273.545,197
675792.3156,5135262.271,198
675793.1715,5135273.325,199
675795.4954,5135253.878,200
675783.7913,5135272.63,201
675791.4352,5135252.064,202
675793.8322,5135250.437,203
675794.4559,5135249.182,204
677915.6934,5136928.304,205
675787.9986,5135248.996,206
675794.9206,5135253.438,207
677405.0839,5136531.611,208
675798.5896,5135248.453,209
676530.9483,5137729.188,210
676076.8401,5136008.181,211
674665.3336,5135635.801,212
675160.0146,5133448.414,213
675140.0743,5133446.993,214
677459.3337,5133136.553,215
677457.6584,5133133.535,216
677463.8834,5133141.776,217
678964.3904,5134041.722,218
679052.3985,5134326.41,219
679048.7262,5134331.393,220
679040.0689,5134326.048,221
679055.1721,5134332.006,222
679055.222,5134330.311,223
679055.3092,5134327.344,224
679055.9337,5134326.09,225
679056.4211,5134329.498,226
679054.7968,5134324.784,227
679058.1825,5134329.55,228
679056.5083,5134326.531,229
679056.3588,5134331.617,230
679054.6971,5134328.175,231
679054.6722,5134329.022,232
679056.9584,5134331.211,233
679054.6224,5134330.718,234
679059.3443,5134330.008,235
679058.1451,5134330.821,236
679055.9586,5134325.242,237
679048.2512,5134327.561,238
679061.6165,5134312.682,239
679164.1995,5134501.08,240
679162.4756,5134499.757,241
679157.1293,5134501.721,242
679137.0891,5134443.862,243
679144.7589,5134442.815,244
679134.0787,5134446.319,245
679138.9127,5134441.795,246
679140.6616,5134442.27,247
679145.346,5134442.832,248
679141.2362,5134442.712,249
679140.0496,5134443.101,250
679143.0973,5134439.373,251
679142.5974,5134436.388,252
679142.3232,5134445.713,253
679138.7881,5134446.033,254
679142.9726,5134443.611,255
679141.7735,5134444.424,256
679140.6741,5134441.847,257
679142.9726,5134443.611,258
679142.9976,5134442.763,259
679144.547,5134450.021,260
679141.7735,5134444.424,261
679132.7674,5134450.947,262
679134.8403,5134440.402,263
679138.2259,5134445.168,264
679035.9948,5134304.717,265
679115.4696,5134499.647,266
679317.9417,5134368.583,267
679140.6529,5134502.509,268
679138.904,5134502.033,269
679020.0345,5134507.871,270
679115.345,5134503.886,271
679115.4198,5134501.343,272
679170.3494,5134571.681,273
679264.7943,5134497.252,274
679116.6189,5134500.529,275
679132.8398,5134608.333,276
679141.2774,5134501.254,277
679142.8393,5134508.088,278
679141.2525,5134502.102,279
679011.0988,5134312.046,280
679014.1217,5134309.165,281
679048.1749,5134310.166,282
679044.7767,5134305.824,283
678659.9979,5134041.272,284
679188.7956,5134503.925,285
679025.918,5134507.62,286
679160.6768,5134500.977,287
679162.4756,5134499.757,288
679158.9405,5134500.077,289
679151.0837,5134507.482,290
679164.6155,5134566.846,291
679161.1689,5134584.137,292
679166.3519,5134567.745,293
679169.7748,5134571.24,294
679163.7043,5134577.849,295
679169.3248,5134566.56,296
679170.6735,5134560.661,297
679160.9196,5134592.614,298
679165.0406,5134572.373,299
679174.3174,5134496.711,300
679174.2108,5134600.217,301
679166.8143,5134572.001,302
679173.7054,5134497.542,303
679168.001,5134571.612,304
679165.6628,5134531.243,305
679165.6775,5134570.695,306
679165.078,5134571.102,307
679164.6031,5134567.27,308
679177.7528,5134499.782,309
679196.1276,5134734.065,310
679162.6298,5134574.423,311
678927.4428,5134339.283,312
679166.3394,5134568.169,313
679167.0263,5134564.796,314
679167.3142,5134574.985,315
679162.2921,5134565.929,316
678847.3585,5134925.316,317
679129.3358,5134507.691,318
678926.2128,5134281.129,319
679128.8996,5134722.331,320
679165.078,5134571.102,321
679165.2899,5134563.896,322
679174.6212,5134566.292,323
679162.0801,5134573.134,324
679170.949,5134571.274,325
679121.9822,5134378.089,326
679123.1813,5134377.276,327
678969.3244,5134433.84,328
678972.7724,5134436.487,329
678897.374,5133982.484,330
679031.9743,5134481.497,331
679141.948,5134438.49,332
679032.1206,5134436.534,333
679036.8175,5134436.672,334
676552.7522,5135579.941,335
678974.0213,5134433.978,336
679144.9085,5134437.729,337
679393.6066,5134433.17,338
679103.5651,5134684.679,339
679294.3706,5134091.3,340
679018.3396,5134405.586,341
679000.2421,5134441.536,342
679022.4782,5134604.664,343
678312.1686,5135925.612,344
676140.5221,5136040.566,345
676690.4828,5132146.603,346
679142.0602,5134434.676,347
679127.3824,5134434.244,348
679133.5664,5134443.759,349
679191.7393,5134204.091,350
679191.3403,5134217.654,351
679195.1374,5134208.433,352
679202.6205,5134213.744,353
679196.0374,5134217.793,354
679192.5259,5134197.327,355
679201.4202,5134194.619,356
679185.1312,5134208.988,357
679194.8495,5134198.244,358
679188.9033,5134200.614,359
679188.9158,5134200.19,360
679192.3264,5134204.109,361
679183.7064,5134197.492,362
679187.6418,5134203.547,363
679174.549,5134189.162,364
679192.4261,5134200.718,365
679189.9529,5134204.887,366
679143.2718,5134433.439,367
679146.8817,5134430.575,368
679141.3609,5134438.473,369
679141.0493,5134449.069,370
679143.01,5134442.34,371
679145.807,5134626.955,372
679034.6526,5134390.369,373
679170.2995,5134573.376,374
679201.8044,5134601.029,375
678922.5302,5134306.474,376
679079.8562,5134331.884,377
680147.5586,5133696.918,378
679165.7773,5134567.304,379
679119.8247,5134431.477,380
679125.1212,5134431.208,381
679954.2359,5134650.786,382
679167.7719,5134719.232,383
679182.0551,5134593.236,384
679190.2869,5134593.054,385
679166.429,5134605.079,386
679190.1123,5134598.988,387
679138.5797,5134712.858,388
679757.4257,5134549.95,389
679084.3102,5134600.118,390
679264.6537,5134422.162,391
679417.0333,5134056.732,392
679160.3562,5134571.811,393
678645.168,5133705.285,394
676498.6628,5132782.441,395
676660.2051,5132197.478,396
679039.5663,5134603.045,397
679044.28,5134342.716,398
679043.2304,5134338.443,399
679046.0165,5134343.615,400
679053.9356,5134334.091,401
679049.7385,5134336.937,402
679043.7054,5134342.275,403
679049.6264,5134340.752,404
679043.5808,5134346.513,405
679040.0331,5134347.257,406
679043.8299,5134338.036,407
679043.0061,5134346.072,408
679049.0268,5134341.159,409
679055.672,5134334.991,410
679046.1037,5134340.648,411
679050.9003,5134337.396,412
679048.4771,5134339.87,413
679045.6287,5134336.817,414
679103.8854,5134433.977,415
679057.1667,5134603.987,416
678909.2911,5134577.158,417
678893.931,5134619.977,418
678905.3826,5134590.194,419
678927.6414,5134452.554,420
678908.7792,5134454.545,421
678921.9197,5134447.295,422
678923.7682,5134444.38,423
679573.9991,5134592.9,424
678924.9389,5134284.486,425
679702.6148,5133260.411,426
679163.4436,5134606.688,427
679790.492,5134524.624,428
679183.0708,5134438.851,429
679994.3285,5134049.581,430
680300.903,5134413.294,431
679208.4745,5134594.013,432
679178.8702,5134601.627,433
679022.528,5134602.969,434
679125.7706,5134429.106,435
678410.7086,5133965.244,436
677354.6506,5133118.658,437
679070.4581,5134611.589,438
679018.4557,5134601.576,439
678119.3563,5133498.571,440
679138.9476,5134600.452,441
679169.4869,5134561.05,442
678918.406,5134166.787,443
679124.879,5134359.509,444
679126.7388,5134336.232,445
679125.1034,5134351.879,446
679123.9665,5134350.573,447
679126.2402,5134353.185,448
679127.5765,5134347.71,449
679130.4249,5134350.763,450
679123.1675,5134357.761,451
679120.7692,5134359.388,452
679132.1488,5134352.087,453
679133.798,5134355.953,454
679128.5389,5134354.95,455
679119.3568,5134347.468,456
679131.0494,5134349.509,457
679128.2135,5134346.032,458
679127.69,5134363.833,459
679117.6577,5134345.297,460
679141.9605,5134438.067,461
678956.8761,5134497.531,462
679097.7095,5134364.225,463
679095.8485,5134367.564,464
679175.9597,5134600.692,465
678262.5631,5133926.97,466
679105.1409,5134171.425,467
679109.1013,5134176.632,468
679192.4732,5134598.633,469
678939.8817,5134435.945,470
679056.293,5134133.931,471
679058.7163,5134131.457,472
679143.7467,5134437.271,473
678934.4673,5134640.257,474
679055.8413,5134109.314,475
679049.6833,5134118.889,476
679052.1565,5134114.72,477
679050.082,5134105.326,478
679050.4822,5134111.701,479
679048.671,5134113.345,480
679054.0798,5134109.262,481
679054.7791,5134105.464,482
679060.0011,5134107.739,483
679049.92,5134110.836,484
679046.3224,5134113.276,485
679055.3305,5134126.691,486
679058.6524,5134113.638,487
679056.2914,5134113.993,488
679004.9643,5134300.836,489
679010.8356,5134301.008,490
678928.0862,5134277.367,491
679020.555,5134610.122,492
679038.6085,5134655.62,493
679319.7652,5134027.143,494
679181.2685,5134600,495
678737.5172,5133702.478,496
678943.415,5133915.538,497
679102.9104,5134607.028,498
678745.7624,5133882.162,499
679348.6633,5134103.504,500
678862.0228,5134806.118,501
679105.2118,5134288.935,502
679140.2465,5134596.248,503
679143.0573,5134600.573,504
679141.8706,5134600.962,505
679141.8831,5134600.539,506
679009.2395,5133915.351,507
679010.9138,5133918.37,508
679102.1572,5134372.84,509
679099.3089,5134369.786,510
678971.2117,5134309.601,511
679110.4392,5134370.962,512
679105.7796,5134369.552,513
678750.5904,5134018.052,514
679101.8222,5134404.222,515
679102.4467,5134402.967,516
676775.2405,5131169.574,517
678547.2443,5136984.129,518
679097.0725,5134365.903,519
679096.5228,5134364.614,520
679110.4143,5134371.81,521
679098.1222,5134370.176,522
679098.2468,5134365.937,523
679095.3486,5134364.579,524
679098.1471,5134369.328,525
679099.5083,5134363.005,526
679097.6597,5134365.92,527
679098.334,5134362.97,528
679102.682,5134374.976,529
679095.8734,5134366.716,530
679096.8981,5134371.837,531
679081.3589,5134380.712,532
679092.413,5134364.493,533
679101.1699,5134366.447,534
679087.8655,5134359.269,535
678950.2474,5134543.151,536
679188.7823,5134724.092,537
679189.0826,5134733.858,538
678987.0068,5134651.982,539
678956.1239,5134603.138,540
678958.1093,5134595.561,541
679137.7308,5134721.742,542
679125.0103,5134454.961,543
679123.8361,5134454.926,544
679125.0477,5134453.689,545
679257.6234,5134481.345,546
679142.4774,5134720.185,547
678684.0995,5134882.345,548
678260.1746,5135574.539,549
679140.6316,5134363.366,550
678927.2234,5133906.578,551
679163.4289,5134567.235,552
677523.1711,5134293.955,553
675892.8613,5132694.934,554
679102.3594,5134405.934,555
679101.7598,5134406.341,556
679188.0352,5134769.461,557
679097.4617,5134392.64,558
679095.2503,5134387.908,559
677626.5017,5133853.669,560
679969.4582,5134374.221,561
679113.3,5134373.592,562
679114.4369,5134374.898,563
679113.7625,5134377.847,564
679115.3245,5134384.681,565
679113.0383,5134382.492,566
679107.667,5134385.304,567
679102.2957,5134388.115,568
679116.5984,5134381.324,569
679200.0867,5134479.652,570
679113.0508,5134382.068,571
679120.8578,5134376.359,572
679114.9243,5134378.306,573
679113.1629,5134378.254,574
679119.9965,5134385.666,575
679120.171,5134379.733,576
679121.8949,5134381.056,577
679113.9329,5134312.099,578
679085.6096,5133936.261,579
679082.2968,5133909.014,580
679029.9749,5134789.418,581
678920.7248,5134748.028,582
679040.8369,5134719.741,583
679037.1135,5134706.481,584
679073.301,5134714.757,585
677230.3394,5133230.002,586
679173.381,5134728.305,587
679015.7194,5134294.789,588
679011.8603,5134306.129,589
679161.4148,5134735.589,590
679158.6166,5134730.841,591
679105.4888,5134319.487,592
679108.3995,5134320.421,593
679100.7669,5134320.196,594
679113.3831,5134310.81,595
679119.5424,5134321.172,596
679134.4199,5134314.822,597
679154.5317,5134310.323,598
680169.7979,5134554.497,599
678946.5311,5133609.347,600
679119.1671,5134313.95,601
678422.557,5133279.641,602
678888.6202,5134360.626,603
679077.1781,5136281.075,604
679077.8648,5136277.701,605
679212.5785,5134734.125,606
679080.5724,5134387.477,607
679053.5151,5134388.378,608
679072.6642,5134376.639,609
679070.8904,5134377.011,610
679071.5897,5134373.214,611
679069.1041,5134377.807,612
679078.0729,5134372.556,613
679075.0875,5134374.165,614
679070.3033,5134376.994,615
679069.0917,5134378.231,616
679065.094,5134374.295,617
679073.826,5134377.097,618
679069.6788,5134378.248,619
679073.2763,5134375.809,620
679072.2142,5134371.959,621
679076.0623,5134380.981,622
679066.3056,5134373.058,623
679074.9379,5134379.251,624
