ID,x,y
SIMP02,593117.7056,4218511.869
SIMP02,593063.362,4218540.877
SIMP02,593081.066,4218526.209
SIMP02,593075.234,4218522.48
SIMP02,593060.3394,4218544.505
SIMP02,593094.5123,4218500.506
SIMP02,593071.8117,4218568.717
SIMP02,593289.1443,4218854.188
SIMP02,592995.0631,4218632.537
SIMP02,593091.2561,4218524.55
SIMP02,593097.7012,4218474.686
SIMP02,593076.7663,4218518.836
SIMP02,592893.7292,4218807.05
SIMP02,593069.3183,4218526.075
SIMP02,592971.4879,4218393.675
SIMP02,593091.5099,4218502.359
SIMP02,593070.999,4218509.448
SIMP02,593041.7833,4218511.001
SIMP02,593135.7476,4218467.686
SIMP02,593070.131,4218585.344
SIMP02,593077.3872,4218587.202
SIMP02,593112.0309,4218624.664
SIMP02,593090.0869,4218504.118
