"","x","y","nlcd_extract_41"
"346",273467.9938,4695095.48,95
"347",273420.5509,4695241.531,95
"348",273450.6285,4695238.778,95
"349",273477.7665,4695185.985,95
"350",273423.1899,4695111.828,95
"351",273593.0789,4695267.514,95
"352",273421.1911,4695304.541,95
"353",273443.4923,4695229.672,95
"354",273419.4534,4695250.905,95
"355",273424.9087,4695248.838,95
"356",273421.9906,4695245.264,95
"357",274439.1898,4694624.995,52
"358",273422.9082,4695230.339,95
"359",273454.1446,4695220.1,95
"360",273889.9055,4695270.806,52
"361",273423.3903,4695245.219,95
"362",273437.2592,4695248.438,95
"363",273407.7188,4695186.365,95
"364",273469.2541,4695304.874,95
"365",273519.3162,4695364.393,95
"366",273676.8669,4695477.793,52
"367",273427.687,4695250.638,95
"368",273474.7287,4695219.433,95
"369",273597.7094,4695537.828,95
"370",273563.8202,4695338.829,95
"371",273425.0886,4695254.391,95
"372",273426.2873,4695250.683,95
"373",273590.116,4695430.577,95
"374",273655.4904,4695326.635,52
"375",273594.5361,4695269.246,95
"376",273690.966,4695149.402,95
"377",273420.4291,4695197.069,95
"378",273442.1348,4695314.979,95
"379",273557.1823,4695431.644,95
"380",273452.0278,4695790.777,52
"381",273688.8001,4695464.512,52
"382",273533.8641,4695263.874,95
"383",273611.9632,4695298.363,95
"384",273438.5795,4695289.193,95
"385",273440.2173,4695255.79,95
"386",273446.1894,4695101.745,95
"387",273420.8531,4695250.859,95
